effect,se,pval,y1,y0,ntrimmed,age,m,lower,upper
-0.02914117034885722,0.004256656842461962,7.593131345241317e-12,0.02331200897023546,0.05245317931909268,0,above40,1,-0.037484217760082664,-0.020798122937631773
0.02495064925393209,0.009031600549702954,0.0057343973767024865,0.170672025928262,0.1457213766743299,0,above40,2,0.007248712176514301,0.04265258633134988
0.13560329979536834,0.009861261113896427,5.0153130610438816e-43,0.4128584304609733,0.277255130665605,0,above40,3,0.11627522801213135,0.15493137157860534
0.3912952359962854,0.01167196608573698,2.1286776739970283e-246,0.7640771060520181,0.37278187005573266,0,above40,4,0.36841818246824093,0.4141722895243299
0.42091374924980246,0.008674953383856352,0,0.8786708064556619,0.4577570572058594,0,above40,5,0.40391084061744403,0.4379166578821609
0.401353251834786,0.008737021331229286,0,0.9258064260036416,0.5244531741688556,0,above40,6,0.3842286900255766,0.4184778136439954
0.38578388462302826,0.007802814078556717,0,0.9668178171205902,0.581033932497562,0,above40,7,0.3704903690290571,0.40107740021699945
0.3542291855179327,0.00795843408767479,0,0.9783551894119061,0.6241260038939734,0,above40,8,0.3386306547060901,0.3698277163297753
0.31424301769860263,0.006828553252646019,0,0.9802023887016946,0.665959371003092,0,above40,9,0.30085905332341645,0.3276269820737888
0.2811989841851955,0.006634609608839175,0,0.9823149124400601,0.7011159282548646,0,above40,10,0.2681951493518707,0.2942028190185203
0.2522966300668309,0.007917221214478258,7.699553346099765e-223,0.9823149124400601,0.7300182823732292,0,above40,11,0.23677887648645352,0.2678143836472083
0.22459332437388846,0.00683902848825233,1.5851867230204503e-236,0.9836897032641149,0.7590963788902264,0,above40,12,0.2111888285369139,0.23799782021086302
0.2011028833520605,0.006127148153440701,2.895473642556155e-236,0.9845848712134172,0.7834819878613567,0,above40,13,0.18909367297131674,0.21311209373280426
0.17994531018002502,0.006737658348377785,3.862164858498068e-157,0.9855933160656176,0.8056480058855926,0,above40,14,0.16673949981720457,0.19315112054284547
0.15818983818988275,0.006208996036182101,3.4989438596789976e-143,0.9861858143791005,0.8279959761892177,0,above40,15,0.14602020595896584,0.17035947042079966
0.13974753880292545,0.00623330026366049,2.5396442536334983e-111,0.9865501156865236,0.8468025768835982,0,above40,16,0.12753027028615088,0.15196480731970002
0.12259610532647203,0.0057405590500890944,3.420250820508023e-101,0.9872366155749642,0.8646405102484922,0,above40,17,0.11134460958829741,0.13384760106464666
0.10682822683167104,0.005164192717736794,4.5985578727940714e-95,0.9884095174598483,0.8815812906281772,0,above40,18,0.09670640910490692,0.11695004455843515
0.08972403290544861,0.004990958715037909,2.933632482947639e-72,0.9884095174598483,0.8986854845543997,0,above40,19,0.07994175382397431,0.09950631198692292
0.07897142368825161,0.004597627583787234,3.9781626783741334e-66,0.9892594480642957,0.9102880243760441,0,above40,20,0.06996007362402863,0.08798277375247458
0.06945296179669858,0.0045259221236988575,3.7907566187753722e-53,0.9897991783067926,0.9203462165100941,0,above40,21,0.06058215443424882,0.07832376915914833
0.06288185891570686,0.004686601281339888,4.783975131225207e-41,0.990647937128631,0.9277660782129241,0,above40,22,0.05369612040428068,0.07206759742713303
0.05114017868759524,0.004367179177342265,1.1312354505991908e-31,0.990995112728721,0.9398549340411257,0,above40,23,0.0425805075000044,0.059699849875186076
0.013049100592578688,0.001956558036315746,2.5682232187526896e-11,0.9988875315865123,0.9858384309939336,0,above40,24,0.009214246841399827,0.01688395434375755
-0.04462259275584713,0.003825697559503728,1.9488248969752741e-31,0.030824026449807758,0.07544661920565489,0,below40,1,-0.052120959972474436,-0.037124225539219825
3.126055218448387e-4,0.006641242403566371,0.9624571683104586,0.21605808634382143,0.2157454808219766,0,below40,2,-0.012704229589145247,0.013329440632834925
0.10382570234271937,0.009847833843790883,5.472538203212973e-26,0.46155910393468663,0.35773340159196726,0,below40,3,0.08452394800888924,0.12312745667654951
0.36794433145180744,0.008222613560870354,0,0.8356744719971166,0.4677301405453092,0,below40,4,0.35182800887250154,0.38406065403111334
0.36103669153303475,0.007999120999114179,0,0.9222864745643438,0.561249783031309,0,below40,5,0.34535841437477094,0.37671496869129856
0.3253922625495308,0.006523071511352502,0,0.9541129640628823,0.6287207015133515,0,below40,6,0.3126070423872799,0.3381774827117817
0.2934955603186653,0.005471247790611163,0,0.978327937510332,0.6848323771916667,0,below40,7,0.2827719146490674,0.3042192059882632
0.2564151243535767,0.0054881650762843145,0,0.9870224789578702,0.7306073546042935,0,below40,8,0.24565832080405947,0.26717192790309396
0.22200369076090742,0.00590508707412201,0,0.9888735385747807,0.7668698478138732,0,below40,9,0.2104297200956283,0.23357766142618655
0.18567952899476836,0.005399670929176325,3.9183934908387295e-259,0.9903451918009544,0.804665662806186,0,below40,10,0.17509617397358276,0.19626288401595396
0.16348512600928733,0.004293808086872236,0,0.9920836041086182,0.8285984780993308,0,below40,11,0.15506926215901776,0.1719009898595569
0.143126209935724,0.0045236399066531825,1.0538232017000428e-219,0.9925900892972386,0.8494638793615146,0,below40,12,0.13425987571868375,0.15199254415276425
0.12533800417924645,0.004661376467458872,2.9834413023788714e-159,0.9935751185259243,0.8682371143466778,0,below40,13,0.11620170630302706,0.13447430205546584
0.10896492870553698,0.003983550790883221,9.753191768991038e-165,0.9941442014860024,0.8851792727804654,0,below40,14,0.10115716915540586,0.1167726882556681
0.09797936868731927,0.003697642809194186,1.0277291845889158e-154,0.9943751237504983,0.896395755063179,0,below40,15,0.09073198878129866,0.10522674859333987
0.08441649924624284,0.00368717610836957,5.256394050302141e-116,0.9945581294039733,0.9101416301577304,0,below40,16,0.07718963407383848,0.09164336441864719
0.07373490368448632,0.0032212547169205514,5.828160776321601e-116,0.9948769366129232,0.9211420329284369,0,below40,17,0.06742124443932204,0.0800485629296506
0.06267719096180746,0.0032303558488101735,7.341463074014964e-84,0.9951482808709196,0.9324710899091121,0,below40,18,0.05634569349813952,0.0690086884254754
0.05094407139946866,0.003017341210203011,5.92459224230004e-64,0.9951482808709196,0.9442042094714509,0,below40,19,0.045030082627470755,0.056858060171466565
0.04064428465882408,0.0027562001232166082,3.2407487922806255e-49,0.99559450563472085,0.9549502209758968,0,below40,20,0.03524213241731953,0.046046436900328634
0.03359604211506306,0.002625146594577071,1.6871074770270867e-37,0.99559450563472085,0.9619984635196578,0,below40,21,0.028450754789692004,0.038741329440434125
0.027987446972932983,0.0024472357047247424,2.752185217298826e-30,0.9958147444471038,0.9678272974741708,0,below40,22,0.02319086499167249,0.03278402895419348
0.02476068517240293,0.002213642994988747,4.802365004657509e-29,0.9959687418923138,0.9712080567199108,0,below40,23,0.020421944902224987,0.029099425442580873
0.005191401035797294,0.0010160356632340389,3.230683322681508e-7,0.9997521913257833,0.994560790289986,0,below40,24,0.0031999711358585777,0.007182830935736011
